time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,train/value_loss,train/n_updates,train/std,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/explained_variance,train/clip_range,train/loss,train/approx_kl,train/learning_rate,seed,candidate,sanity_check_wh_per_km,sanity_check_regen_pct
2306,2048,0,1799.0,-73.2147,1,,,,,,,,,,,,7,Cand_B3_100k,128.5275,99.9625
1650,4096,2,1799.0,-71.5422775,2,0.5541211449541151,10.0,0.9900014400482178,-0.0003954239815357,-1.4130817759782075,0.004296875,-0.0067907571792602,0.2,0.2030918896198272,0.00303718,0.0003,7,Cand_B3_100k,128.5275,99.9625
1510,6144,4,1799.0,-71.730923,3,0.5899629824794829,20.0,1.0009773969650269,-0.0004494531320233,-1.4145795114338398,0.002734375,0.6581250429153442,0.2,0.2574499547481537,0.0020556762,0.0003,7,Cand_B3_100k,128.5275,99.9625
1428,8192,5,1799.0,-72.240604,4,0.818034837860614,30.0,1.001530408859253,-0.001164284582046,-1.4208332356065512,0.0142578125,0.7741063237190247,0.2,0.4097161591053009,0.003835279,0.0003,7,Cand_B3_100k,128.5275,99.9625
1382,10240,7,1799.0,-70.6277554,5,0.9931201231665908,40.0,1.0118759870529177,-0.0002775884473521,-1.4254611011594531,0.002685546875,0.8326110243797302,0.2,0.2543499171733856,0.00077249296,0.0003,7,Cand_B3_100k,128.5275,99.9625
1376,12288,8,1799.0,-69.65333383333333,6,1.0659630469046533,50.0,1.01089346408844,-0.0025087921741942,-1.4298960719257594,0.02265625,0.8378907442092896,0.2,0.1874728351831436,0.0028291272,0.0003,7,Cand_B3_100k,128.5275,99.9625
1366,14336,10,1799.0,-68.43336757142858,7,0.9713859730400144,60.0,1.0178734064102173,-0.0012729571652016,-1.4347290571779012,0.019189453125,0.8623398542404175,0.2,0.3147479295730591,0.0030240458,0.0003,7,Cand_B3_100k,128.5275,99.9625
1384,16384,11,1799.0,-65.58864266666666,8,1.462047274830272,67.0,1.0064173936843872,-0.0041113199001557,-1.43051661681203,0.0472542475728155,0.8697996139526367,0.2,0.8771764039993286,0.009857913,0.0003,7,Cand_B3_100k,128.5275,99.9625
1372,18432,13,1799.0,-64.2345301,9,0.7917859633918851,77.0,0.9932372570037842,0.0004899929546809,-1.4189691565930844,0.0064453125,0.8923196196556091,0.2,0.1796628385782241,0.00040438975,0.0003,7,Cand_B3_100k,128.5275,99.9625
1365,20480,14,1799.0,-63.589798454545445,10,0.779767604963854,87.0,0.9776208400726318,-0.0003121011774055,-1.40338182002306,0.0087890625,0.9022557139396667,0.2,0.2520323991775512,0.0021070116,0.0003,7,Cand_B3_100k,128.5275,99.9625
1357,22528,16,1799.0,-62.52591283333333,11,0.9415120966732502,97.0,0.9800297617912292,7.959413123899139e-05,-1.398278283700347,0.00126953125,0.8846603035926819,0.2,0.248198464512825,0.0016912792,0.0003,7,Cand_B3_100k,128.5275,99.9625
1351,24576,18,1799.0,-61.118010538461526,12,0.7435682805255055,107.0,0.9699017405509948,-0.0044514658940897,-1.3915766317397356,0.036474609375,0.8987717032432556,0.2,0.1926754564046859,0.0035792864,0.0003,7,Cand_B3_100k,128.5275,99.9625
1340,26624,19,1799.0,-59.79730792857141,13,0.6274365120334551,117.0,0.9616956114768982,-0.0011364958267222,-1.386092099174857,0.0099609375,0.9006396532058716,0.2,0.2706596851348877,0.003128468,0.0003,7,Cand_B3_100k,128.5275,99.9625
1329,28672,21,1799.0,-58.44373019999999,14,0.6419586559291929,127.0,0.9490426778793336,-0.0021250883459288,-1.3718498840928075,0.022119140625,0.8973937630653381,0.2,0.1543275415897369,0.0034800838,0.0003,7,Cand_B3_100k,128.5275,99.9625
1345,30720,22,1799.0,-56.24236611764706,15,0.7118777348659933,131.0,0.9481300711631776,-0.0050440848317521,-1.3659037612378595,0.060302734375,0.9284239411354064,0.2,0.3915292620658874,0.0044854353,0.0003,7,Cand_B3_100k,128.5275,99.9625
1337,32768,24,1799.0,-54.960656944444445,16,0.715915113221854,141.0,0.9325496554374696,-0.0019587858052545,-1.3568185109645128,0.024609375,0.8788467645645142,0.2,0.2818264365196228,0.0021713008,0.0003,7,Cand_B3_100k,128.5275,99.9625
1330,34816,26,1799.0,-53.80952621052632,17,0.3416581689147279,151.0,0.909608006477356,-0.0034371788889984,-1.335333127528429,0.0271484375,0.9291929006576538,0.2,0.4317584037780761,0.003470133,0.0003,7,Cand_B3_100k,128.5275,99.9625
1327,36864,27,1799.0,-52.90237215,18,0.3932124463142827,161.0,0.9095741510391236,-0.0017722486605634,-1.3246069245040415,0.041796875,0.923223614692688,0.2,0.0832984298467636,0.003126009,0.0003,7,Cand_B3_100k,128.5275,99.9625
1335,38912,29,1799.0,-51.57649823809523,19,0.3554702024710806,167.0,0.8914378881454468,-0.0033699707348683,-1.3144022941589355,0.0479440789473684,0.918548345565796,0.2,0.0683768987655639,0.004690403,0.0003,7,Cand_B3_100k,128.5275,99.9625
1330,40960,30,1799.0,-50.47735722727271,20,0.3365880565717816,177.0,0.8751574754714966,-0.0012530668405815,-1.293543565273285,0.03095703125,0.907686412334442,0.2,0.128598928451538,0.005399474,0.0003,7,Cand_B3_100k,128.5275,99.9625
1324,43008,32,1799.0,-49.302114391304336,21,0.3008854859974235,187.0,0.8819704055786133,-0.0026726711264927,-1.2884814549237489,0.056103515625,0.9129583835601808,0.2,0.0243565887212753,0.0038928129,0.0003,7,Cand_B3_100k,128.5275,99.9625
1320,45056,34,1799.0,-47.09504132,22,0.3415544606745243,197.0,0.8681845664978027,-0.0007235583638248,-1.2850043766200543,0.028076171875,0.9260753393173218,0.2,0.1484470069408416,0.0037197464,0.0003,7,Cand_B3_100k,128.5275,99.9625
1314,47104,35,1799.0,-46.06501869230769,23,0.3276882724836468,207.0,0.8581023216247559,-7.207131275208667e-05,-1.270798658952117,0.02373046875,0.9130645394325256,0.2,0.1239350363612175,0.0068101776,0.0003,7,Cand_B3_100k,128.5275,99.9625
1311,49152,37,1799.0,-45.08520025925926,24,0.2750529980286956,217.0,0.8375329375267029,-0.0040991950634634,-1.2529996946454047,0.04931640625,0.9217421412467957,0.2,0.1057045310735702,0.0054609803,0.0003,7,Cand_B3_100k,128.5275,99.9625
1309,51200,39,1799.0,-44.04316071428571,25,0.3084833739092573,227.0,0.839600682258606,-0.0022556398209417,-1.2421960394829512,0.026513671875,0.9136648178100586,0.2,0.2814429402351379,0.0024971685,0.0003,7,Cand_B3_100k,128.5275,99.9625
1307,53248,40,1799.0,-42.994656,26,0.2710044037085026,237.0,0.8212812542915344,5.358447233447805e-05,-1.2319199539721013,0.01533203125,0.91462242603302,0.2,0.0658365488052368,0.0037754835,0.0003,7,Cand_B3_100k,128.5275,99.9625
1316,55296,42,1799.0,-41.90109353333333,27,0.2306550468536133,242.0,0.8123006224632263,-0.0017134968178175,-1.2169266778526575,0.038563829787234,0.9049701690673828,0.2,0.0367717742919921,0.0074252016,0.0003,7,Cand_B3_100k,128.5275,99.9625
1312,57344,43,1799.0,-40.97554464516129,28,0.1979804011294618,252.0,0.7931132316589355,-0.000381779926829,-1.198835764825344,0.023974609375,0.9050534963607788,0.2,0.0983328595757484,0.0031644437,0.0003,7,Cand_B3_100k,128.5275,99.9625
1306,59392,45,1799.0,-39.007249787878784,29,0.2523557744687423,262.0,0.7833661437034607,-0.001443086151994,-1.1804176036268472,0.03837890625,0.9159486293792723,0.2,0.0595208257436752,0.003697787,0.0003,7,Cand_B3_100k,128.5275,99.9625
1313,61440,46,1799.0,-38.00557079411765,30,0.311739495536625,267.0,0.7714012861251831,-0.0067432528117909,-1.1668788170654505,0.070364932885906,0.9055489897727966,0.2,0.0627050772309303,0.007738979,0.0003,7,Cand_B3_100k,128.5275,99.9625
1328,63488,47,1799.0,-37.036089942857146,31,0.2736804264669235,268.0,0.7702945470809937,-0.0030787995514961,-1.1583758776004498,0.0336538461538461,0.9066416025161744,0.2,0.1388957947492599,0.0029366028,0.0003,7,Cand_B3_100k,128.5275,99.9625
1324,65536,49,1799.0,-36.03178472222223,32,0.1571391303325072,278.0,0.7560634613037109,-0.0035026639292482,-1.1471201155334712,0.04931640625,0.9153406620025636,0.2,0.0070302374660968,0.0051806145,0.0003,7,Cand_B3_100k,128.5275,99.9625
1324,67584,51,1799.0,-35.11385843243244,33,0.1786010533364282,286.0,0.7560124397277832,0.0001850643819789,-1.1375409776256198,0.0494791666666666,0.9097844362258912,0.2,0.0392250530421733,0.0055415123,0.0003,7,Cand_B3_100k,128.5275,99.9625
1320,69632,52,1799.0,-34.212899526315795,34,0.1906367879593745,296.0,0.7396142482757568,-0.003237455515773,-1.127643359825015,0.052197265625,0.8802936673164368,0.2,0.0443626195192337,0.004918418,0.0003,7,Cand_B3_100k,128.5275,99.9625
1331,71680,53,1799.0,-33.3363107948718,35,0.1485056570347617,299.0,0.7382428646087646,-0.0008521400296184,-1.117403647478889,0.0514705882352941,0.9012167453765868,0.2,0.0161630939692258,0.010218942,0.0003,7,Cand_B3_100k,128.5275,99.9625
1340,73728,54,1799.0,-32.500251000000006,36,0.2455076606840723,302.0,0.7346142530441284,0.0017096166524829,-1.1127140985594854,0.0177951388888888,0.8822346925735474,0.2,0.0471672341227531,0.008682726,0.0003,7,Cand_B3_100k,128.5275,99.9625
1343,75776,56,1799.0,-30.86069630952381,37,0.1852649115966727,309.0,0.7375150918960571,0.0015743140618062,-1.111948544328863,0.0318813131313131,0.9135167598724364,0.2,0.143182098865509,0.009880799,0.0003,7,Cand_B3_100k,128.5275,99.9625
1351,77824,57,1799.0,-30.11143623255814,38,0.1870531971448833,313.0,0.7324675917625427,0.0019007995634258,-1.1112393835215892,0.0292779126213592,0.9017580151557922,0.2,0.1034905761480331,0.010173104,0.0003,7,Cand_B3_100k,128.5275,99.9625
1348,79872,59,1799.0,-29.410034818181817,39,0.1193385925726033,323.0,0.7252544164657593,0.0005913100139878,-1.1015891388058665,0.02119140625,0.900122880935669,0.2,0.0412676557898521,0.0040471647,0.0003,7,Cand_B3_100k,128.5275,99.9625
1347,81920,60,1799.0,-28.690020244444444,40,0.1618028930271975,333.0,0.7229953408241272,-7.145115523599088e-05,-1.0953443329781294,0.0314453125,0.9069824814796448,0.2,0.0150349177420139,0.0015497635,0.0003,7,Cand_B3_100k,128.5275,99.9625
1356,83968,61,1799.0,-28.020417500000004,41,0.210848042262452,336.0,0.7200121283531189,-0.0026086154992559,-1.0927732637950351,0.0272321428571428,0.8832350373268127,0.2,0.1816797107458114,0.0068575144,0.0003,7,Cand_B3_100k,128.5275,99.9625
1353,86016,63,1799.0,-27.381909063829788,42,0.14697863063775,346.0,0.7050442695617676,-7.363852200796828e-05,-1.0797073643654584,0.0330078125,0.9029864072799684,0.2,0.0422729849815368,0.004178467,0.0003,7,Cand_B3_100k,128.5275,99.9625
